"","bcw_id","Genus","IAA","NIF_Group"
"1","BCW-200115","Morganella",210.757201633333,"DSN"
"2","BCW-200163","Lactococcus",140.139917693333,"DSN"
"3","BCW-200157","unassigned",110.5514403,"DSN"
"4","BCW-200912","unassigned",103.409669236667,"DSN"
"5","BCW-201839","Enterobacter",97.5318066033333,"DSN"
"6","BCW-200815","Rahnella",92.6208651433333,"DSN"
"7","BCW-200152","unassigned",85.9835390766667,"DSN"
"8","BCW-201036","Rahnella",83.53689569,"DSN"
"9","BCW-200192","Lactococcus",82.56790123,"DSN"
"10","BCW-200736","Rahnella",64.2239185766667,"DSN"
"11","BCW-200716","Rahnella",53.4351145033333,"DSN"
"12","BCW-201832","Enterobacter",53.2569974533333,"DSN"
"13","BCW-200111","Citrobacter",48.4115226333333,"DSN"
"14","BCW-201175","Rahnella",46.6157760833333,"DSN"
"15","BCW-201079","Serratia",44.6055979633333,"DSN"
"16","BCW-201877","Enterobacter",43.20610687,"DSN"
"17","BCW-201833","unassigned",41.7811704833333,"DSN"
"18","BCW-200159","Lactococcus",37.6707818966667,"DSN"
"19","BCW-200066","unassigned",37.62962963,"DSN"
"20","BCW-201013","Rahnella",36.8447837133333,"DSN"
"21","BCW-200067","Microbacterium",35.4897119333333,"DSN"
"22","BCW-200041","Enterobacter",34.9135802466667,"DSN"
"23","BCW-200725","Rahnella",34.2239185766667,"DSN"
"24","BCW-200060","unassigned",31.9917695466667,"DSN"
"25","BCW-201853","unassigned",30.3562340966667,"DSN"
"26","BCW-200641","unassigned",30.3053435133333,"DSN"
"27","BCW-201897","Pantoea",30.17811705,"DSN"
"28","BCW-201842","Curtobacterium",29.69465649,"DSN"
"29","BCW-200155","unassigned",29.6460905333333,"DSN"
"30","BCW-200047","Enterobacter",29.60493827,"DSN"
"31","BCW-200174","Lactococcus",28.9465020533333,"DSN"
"32","BCW-201848","Pantoea",28.7277353666667,"DSN"
"33","BCW-201827","Pantoea",27.608142495,"DSN"
"34","BCW-201654","Rahnella",26.9720101766667,"DSN"
"35","BCW-200723","Rahnella",26.71755725,"DSN"
"36","BCW-200726","Rahnella",26.5394402033333,"DSN"
"37","BCW-201880","Enterobacter",26.5394402,"DSN"
"38","BCW-200055","Enterobacter",26.51851852,"DSN"
"39","BCW-200175","Lactococcus",26.4362139933333,"DSN"
"40","BCW-200814","Rahnella",26.4122137366667,"DSN"
"41","BCW-200160","Lactococcus",24.666666666,"DSN"
"42","BCW-200464","Agrobacterium",24.4529262066667,"DSN"
"43","BCW-201173","unassigned",24.3256997466667,"DSN"
"44","BCW-200561","unassigned",24.24936387,"DSN"
"45","BCW-201809","Serratia",23.8676844766667,"DSN"
"46","BCW-200138","Lactococcus",23.72016461,"DSN"
"47","BCW-201884","Enterobacter",23.4605597966667,"DSN"
"48","BCW-200061","Serratia",23.4320987666667,"DSN"
"49","BCW-200279","Enterobacter",23.18066158,"DSN"
"50","BCW-201812","Enterobacter",22.6717557233333,"DSN"
"51","BCW-200071","unassigned",22.52674897,"DSN"
"52","BCW-200092","Enterobacter",22.3621399133333,"DSN"
"53","BCW-200114","Serratia",22.3209876533333,"DSN"
"54","BCW-201899","Enterobacter",21.80661578,"DSN"
"55","BCW-200064","Enterobacter",21.5390946466667,"DSN"
"56","BCW-201826","Pantoea",20.96692112,"DSN"
"57","BCW-200121","Lactococcus",20.83950617,"DSN"
"58","BCW-200054","Enterobacter",20.6748971166667,"DSN"
"59","BCW-200151","unassigned",20.55144033,"DSN"
"60","BCW-201811","Enterobacter",20.40712468,"DSN"
"61","BCW-200465","Agrobacterium",20.3562340966667,"DSN"
"62","BCW-200003","unassigned",20.1399176933333,"DSN"
"63","BCW-201909","Pantoea",19.9491094166667,"DSN"
"64","BCW-200328","Agrobacterium",19.8218829533333,"DSN"
"65","BCW-201864","Pantoea",19.8218829533333,"DSN"
"66","BCW-201957","Enterobacter",19.5928753166667,"DSN"
"67","BCW-200994","unassigned",19.41475827,"DSN"
"68","BCW-200009","Enterobacter",19.2345679,"DSN"
"69","BCW-201445","unassigned",19.0839694666667,"DSN"
"70","BCW-201878","Enterobacter",18.9312977133333,"DSN"
"71","BCW-201257","Serratia",18.8040712466667,"DSN"
"72","BCW-201450","Hafnia",18.7786259533333,"DSN"
"73","BCW-201889","Enterobacter",18.7786259533333,"DSN"
"74","BCW-201453","Lactococcus",18.5750636133333,"DSN"
"75","BCW-201895","Enterobacter",18.54961832,"DSN"
"76","BCW-201245","unassigned",18.3206106866667,"DSN"
"77","BCW-201662","Serratia",18.0916030533333,"DSN"
"78","BCW-201903","Enterobacter",17.4809160333333,"DSN"
"79","BCW-201103","unassigned",17.2010178133333,"DSN"
