"","bcw_id","Genus","ACC","NIF_Group"
"202","BCW-200736","Rahnella",1.01834862385321,"DSN"
"203","BCW-200054","Enterobacter",1.01553398058252,"DSN"
"204","BCW-201865","unassigned",1.01483679525223,"DSN"
"205","BCW-200064","Enterobacter",1.0111821086262,"DSN"
"206","BCW-200018","Enterobacter",1.00865800865801,"DSN"
"207","BCW-201874","Enterobacter",1.00824175824176,"DSN"
"208","BCW-201260","unassigned",1.0045045045045,"DSN"
"209","BCW-200055","Enterobacter",0.98093220338983,"DSN"
"210","BCW-200071","unassigned",0.978070175438597,"DSN"
"211","BCW-200215","Agrobacterium",0.971608832807571,"DSN"
"212","BCW-201877","Enterobacter",0.961038961038961,"DSN"
"213","BCW-201957","Enterobacter",0.957110609480813,"DSN"
"214","BCW-200033","unassigned",0.948051948051948,"DSN"
"215","BCW-200094","unassigned",0.940140845070423,"DSN"
"216","BCW-201248","unassigned",0.926553672316384,"DSN"
"217","BCW-201903","Enterobacter",0.926078028747433,"DSN"
"218","BCW-201857","Enterobacter",0.920086393088553,"DSN"
"219","BCW-200991","unassigned",0.912472647702407,"DSN"
"220","BCW-200027","Enterobacter",0.904159132007233,"DSN"
"221","BCW-201854","unassigned",0.873156342182891,"DSN"
"222","BCW-201949","Enterobacter",0.86996336996337,"DSN"
"223","BCW-201938","Enterobacter",0.860236220472441,"DSN"
"224","BCW-200025","Enterobacter",0.859550561797753,"DSN"
"225","BCW-200231","unassigned",0.854026845637584,"DSN"
"226","BCW-201997","unassigned",0.777365491651206,"DSN"
"227","BCW-201914","Enterobacter",0.761904761904762,"DSN"
"228","BCW-200143","unassigned",NA,"DSN"
"229","BCW-200144","unassigned",NA,"DSN"
"230","BCW-200145","unassigned",NA,"DSN"
"231","BCW-200564","Rahnella",NA,"DSN"
"232","BCW-200990","unassigned",NA,"DSN"
"233","BCW-202001","unassigned",NA,"DSN"
