bcw_id,Genus,Group,ACC,BNF,IAA,PO4
BCW-200290,Pseudomonas,SDS,1.45,1.2,19.97,831.29
BCW-201862,Pseudomonas,SDS,1.34,1.2,6.62,791.41
BCW-200477,Pseudomonas,SDS,1.78,1.1,29.9,755.62
BCW-200065,Pseudomonas,SDS,1.25,0.9,27.88,723.93
BCW-201293,Pseudomonas,SDS,1.19,1,21.48,704.25
BCW-200267,Pseudomonas,SDS,1.05,1,36.72,699.53
BCW-200588,Pseudomonas,SDS,1.5,1.1,0.1,684.05
BCW-201875,Pseudomonas,SDS,2.51,1.2,8.04,653.37
BCW-200497,Pseudomonas,SDS,1.5,1,2.6,591.88
BCW-200443,Pseudomonas,SDS,2.67,1.4,26.13,445.81
BCW-200791,Pseudomonas,SDS,1.63,1,14.96,409.63
BCW-201947,Pseudomonas,SDS,1.13,1,34.73,386.97
BCW-200046,Pseudomonas,SDS,1.4,0.9,20.67,354.81
BCW-200068,Pseudomonas,SDS,3.17,3,23.39,310.84
BCW-200432,Pseudomonas,SDS,1.15,1,10.81,307.65
BCW-200056,Pseudomonas,SDS,1.6,1.3,8.08,260.74
BCW-200458,Pseudomonas,SDS,0.97,1.1,7.07,260.36
BCW-201859,Pseudomonas,SDS,1.87,1.3,10.33,250.53
BCW-200073,Pseudomonas,SDS,2.34,0.9,4.13,230.88
BCW-200607,Pseudomonas,SDS,1.38,1.2,1.37,168.9
BCW-200790,Pseudomonas,SDS,1.74,1,17.35,20.59
BCW-200476,Pseudomonas,SDS,No Data,1,No Data,No Data
BCW-200574,Stenotrophomonas,SDS,1.34,1.1,17.33,1414.11
BCW-200587,Stenotrophomonas,SDS,2.2,1,14.15,1049.86
BCW-200945,Stenotrophomonas,SDS,1.41,1,12.09,1017.75
BCW-200154,Stenotrophomonas,SDS,2.86,1,50.76,883.2
BCW-200938,Stenotrophomonas,SDS,1.38,1.2,16.56,820.04
BCW-200266,Stenotrophomonas,SDS,1.89,1.1,1.35,816.97
BCW-200202,Stenotrophomonas,SDS,2.19,1,4.01,775.59
BCW-200103,Stenotrophomonas,SDS,1.68,2.1,7.01,770.34
BCW-200570,Stenotrophomonas,SDS,2.45,1.2,20.48,724.95
BCW-201851,Stenotrophomonas,SDS,1.89,1.3,2.54,716.77
BCW-200153,Stenotrophomonas,SDS,2.11,0.8,0.96,686.35
BCW-200589,Stenotrophomonas,SDS,1.49,1,-0.08,677.81
BCW-200944,Stenotrophomonas,SDS,0.91,1,1.3,329.37
BCW-200646,Stenotrophomonas,SDS,1.59,1,1.76,66.86
BCW-200939,Stenotrophomonas,SDS,1.13,1.2,0,47.58
BCW-200147,unassigned,SDS,3.05,1,92.2,682.41
BCW-200002,unassigned,SDS,1.94,1,5.12,451.94
BCW-200498,unassigned,SDS,1.67,1.2,1.98,146.98
