"","bcw_id","Genus","IAA","Group"
"1","BCW-200162","unassigned",157.999999996667,"DSP"
"2","BCW-200951","unassigned",103.53689566,"DSP"
"3","BCW-200801","Rahnella",99.6183206133333,"DSP"
"4","BCW-200113","unassigned",61.7448559633333,"DSP"
"5","BCW-200525","unassigned",60.6106870233333,"DSP"
"6","BCW-200109","Enterobacter",57.0946502066667,"DSP"
"7","BCW-200148","unassigned",53.0205761233333,"DSP"
"8","BCW-200650","Rahnella",48.21882952,"DSP"
"9","BCW-200124","Klebsiella",47.38271605,"DSP"
"10","BCW-201088","Rahnella",47.2264631066667,"DSP"
"11","BCW-200661","Klebsiella",45.72519084,"DSP"
"12","BCW-200096","Klebsiella",45.40740741,"DSP"
"13","BCW-200167","Klebsiella",44.9135802466667,"DSP"
"14","BCW-200136","Klebsiella",43.59670782,"DSP"
"15","BCW-200123","Klebsiella",43.5144032966667,"DSP"
"16","BCW-201900","Raoultella",43.0279898233333,"DSP"
"17","BCW-200099","Klebsiella",42.89711934,"DSP"
"18","BCW-200069","Klebsiella",42.03292181,"DSP"
"19","BCW-200137","Klebsiella",41.0041152233333,"DSP"
"20","BCW-200049","Klebsiella",40.83950617,"DSP"
"21","BCW-200177","Klebsiella",40.6337448533333,"DSP"
"22","BCW-201059","Rahnella",39.6946564866667,"DSP"
"23","BCW-200129","Klebsiella",38.86419753,"DSP"
"24","BCW-200132","Klebsiella",38.86419753,"DSP"
"25","BCW-200168","unassigned",38.4526748966667,"DSP"
"26","BCW-200083","Klebsiella",38.1646090533333,"DSP"
"27","BCW-200444","unassigned",37.68447837,"DSP"
"28","BCW-200053","Klebsiella",37.5473251033333,"DSP"
"29","BCW-200093","Klebsiella",36.9711934166667,"DSP"
"30","BCW-200172","Klebsiella",36.9711934166667,"DSP"
"31","BCW-200307","unassigned",36.59033079,"DSP"
"32","BCW-200084","Klebsiella",35.6131687266667,"DSP"
"33","BCW-201263","Klebsiella",35.47073791,"DSP"
"34","BCW-200552","Rahnella",34.6564885466667,"DSP"
"35","BCW-200182","unassigned",34.2551440366667,"DSP"
"36","BCW-201808","unassigned",33.5623409666667,"DSP"
"37","BCW-201019","Klebsiella",33.12977099,"DSP"
"38","BCW-200086","Klebsiella",32.85596708,"DSP"
"39","BCW-200517","unassigned",32.7735368966667,"DSP"
"40","BCW-200662","Klebsiella",32.1628498733333,"DSP"
"41","BCW-201926","Raoultella",31.5521628533333,"DSP"
